ROM,TIA_Count,RIOT_Count,RIOT_Timer,RIOT_IO,Branches,Jumps,Opcodes,Score
Haunted House.bin,125,87,65,22,469,110,143,0.9404
Hole Hunter.bin,163,85,63,22,321,86,142,0.9360
Holey Moley.bin,353,65,41,24,341,107,146,0.9509
Home Run Baseball (1).bin,94,82,77,5,225,28,138,0.9413
Home Run Baseball (2).bin,188,164,154,10,450,56,138,0.9413
Homerun (32 in 1) (PAL).bin,94,82,77,5,225,28,138,0.9413
Human Cannonball (32 in 1) (PAL).bin,111,51,37,14,164,85,139,0.9390
Human Cannonball - Cannon Man (1).bin,110,51,37,14,164,84,138,0.9390
Human Cannonball - Cannon Man (2).bin,220,102,74,28,328,168,138,0.9390
I Want My Mommy.bin,232,64,42,22,297,74,141,0.9210
I.Q. 180.bin,270,87,78,9,219,140,138,0.9369
Ice Hockey.bin,227,90,71,19,403,76,142,0.9459
Ikari Warriors.bin,793,160,129,31,1138,253,149,0.9189
Imagic Selector.bin,439,73,60,13,231,84,137,0.9388
Immies and Aggies.bin,227,107,95,12,343,76,137,0.9424
IncaGold_Zellers.BIN,173,83,75,8,313,169,139,0.9466
Indy 500 (4k Version).bin,148,114,78,36,304,130,130,0.9376
Infiltrate.bin,130,40,29,11,278,60,143,0.9473
International Soccer.bin,216,100,94,6,261,127,132,0.9323
INV+.bin,228,119,90,29,267,77,141,0.9451
INV.bin,223,96,72,24,222,74,129,0.9128
Iq180.bin,270,87,78,9,219,140,138,0.9369
Ixion.bin,223,50,39,11,636,148,150,0.9471
James Bond 007.bin,536,176,59,117,668,224,148,0.9405
Jammed.bin,134,65,57,8,236,96,150,0.9161
Jawbreaker.bin,202,155,137,18,427,120,138,0.9408
Jediaren.bin,281,103,73,30,294,86,140,0.9364
Journey Escape.bin,200,125,92,33,397,93,140,0.9373
Joust.bin,336,175,120,55,819,153,150,0.9422
JoustPong.bin,203,103,95,8,196,69,132,0.9266
Jrpacman.bin,561,322,232,90,994,345,151,0.9203
Jungle Fever.bin,179,79,64,15,377,92,148,0.9387
Jungle Hunt.bin,517,165,135,30,838,130,149,0.9420
Kaboom! (1).bin,147,49,44,5,183,39,130,0.9415
Kaboom! (2).bin,294,98,88,10,366,78,130,0.9415
kamisauc.bin,246,54,47,7,346,105,127,0.9545
Kangaroo.bin,438,167,129,38,637,131,149,0.9360
Karate.bin,223,120,110,10,267,224,142,0.9344
Keystone Kapers.bin,256,78,39,39,343,74,145,0.9368
King Kong.bin,195,75,66,9,383,119,144,0.9456
Klax.bin,912,341,323,18,1763,465,151,0.9436
Knight on the Town.bin,223,91,67,24,361,91,144,0.9499
Kool Aid Man.bin,255,99,95,4,300,119,141,0.9417
Krull.bin,333,163,140,23,773,200,151,0.9405
Kung Fu Master.bin,367,169,141,28,764,263,150,0.9366
Kung Fu.bin,259,122,112,10,278,245,140,0.9406
labyrinth.bin,331,138,116,22,471,120,150,0.9534
Lady in Wading.bin,226,93,69,24,347,89,144,0.9494
Laser Blast (1).bin,159,48,34,14,175,27,121,0.9399
Laser Blast (2).bin,318,96,68,28,350,54,121,0.9399
Laser Blast (32 in 1) (PAL).bin,159,48,34,14,173,27,119,0.9409
